DataZone,income_rate,employment_rate,crime_rate,overcrowded_rate,nocentralheating_rate,Health_PC1,Health_PC2,Education_PC1,Education_PC2,Education_PC3,Access_PC1,Access_PC2
S01008185,1.0313348256658175,1.27578490134131,0.5274252696021219,0.30808991904491045,0.5787308487343924,-0.45133715209259256,1.1291236348268734,-0.8325834375853999,-0.47146650390753697,-0.43664003068796825,0.3218474559678919,-0.8620650976488822
S01008186,0.4279739719877775,0.30308702076064276,0.6479219459752841,0.30808991904491045,1.031772988019176,0.6101304099794602,1.0802353133625873,-2.3972755809216406,-2.930942509219075,-1.76680343460236,0.8201447574143592,0.32882981252273674
S01008187,1.5140235086082496,1.7621338416316439,0.2681748446780457,0.1785231529163151,0.1256887094496087,-1.8475467114501865,-2.5917751316095656,-2.36238820729313,-0.32015747308677195,0.35663793309205916,-1.0557169805008346,0.5028685379351177
S01008188,1.2726791671370334,1.27578490134131,0.3521573766957042,0.5672234513021012,0.1256887094496087,-1.8860592298975496,0.7175223118382724,-0.962256157487339,0.6970863728926318,-0.07497254971217979,1.4450880606533767,-0.4461012355053788
S01008189,-0.17538688169026254,0.14097070733053155,-0.002029823552681626,-0.7284442099838525,0.1256887094496087,0.5380163954708937,-0.4436740385159316,-0.07077431627437261,1.2677756554478798,-0.19335242852370868,-0.23152378438348456,-0.46371487237647097
S01008190,1.8760400208150736,0.7894359610509765,-0.1846005453302001,0.30808991904491045,-0.7803955691199587,-0.48810952829108556,-0.09791146380496499,-1.514037187017102,0.5568399734564263,0.18646313693353242,-2.329584643747805,-0.14748083981426727
S01008191,0.4279739719877775,-0.021145606099579675,-0.2649316629123082,0.5672234513021012,1.031772988019176,-1.3105366868166277,0.8416493554391098,-1.4434530351041124,0.8379591330395069,0.2677956687614952,-2.2653861385882736,-0.6073904153744011
S01008192,1.1520069964014255,1.113668587911199,2.813210706256653,0.30808991904491045,0.1256887094496087,-0.3137467260327262,0.4498058196398662,-0.4036248038163047,0.12973207278517074,0.6339893848226389,0.14601766439042999,-0.36937502704502223
S01008193,-0.29605905242587055,-0.1832619195296909,-0.8418551437292665,-0.7284442099838525,-0.7803955691199587,0.6074778430558497,-2.2944233341757845,0.35967165026740827,0.2953407914397089,0.028493540259474568,-0.6853052734799722,-0.34121647698812924
S01008194,0.4279739719877775,0.465203334190754,-0.002029823552681626,-0.3397439115980664,-0.327353429835175,0.41720658626279733,-1.406006972592872,-1.5538009597040514,-1.4208716370104613,0.4852855358993837,-0.36213969670972196,-0.7628626678799494
S01008195,1.1520069964014255,0.9515522744810877,0.11481543838493019,1.215057281945078,-0.7803955691199587,-0.4904060329638116,0.26288760838012776,-1.6234959575040686,0.6331608298586446,0.13761236130285645,-0.9980073834802679,-1.3217185450381599
S01008196,1.2726791671370334,1.27578490134131,0.16958665491818573,0.9559237496878873,-0.327353429835175,-0.8707468072876068,-0.11615737745091757,-1.5969112428896337,0.2487868515520859,0.2945560840215378,-1.0917361958432064,-1.9455924298647735
S01008197,-0.7787477353683026,-0.5074945463899133,-0.5387877455785859,-0.3397439115980664,-0.7803955691199587,2.1261200327326666,-0.395204708497137,0.3445000278062157,0.9172194289619803,0.13468872956921055,0.9340069114909892,0.28138526568249256
S01008198,0.4279739719877775,0.30308702076064276,0.6625276037174855,-0.210177145469471,-0.7803955691199587,-0.45223371022621484,-0.9101967165937468,-2.407936931383813,0.4580466175484475,0.8809044035760576,2.0495162185221147,0.07767108202942521
S01008199,1.1520069964014255,1.4379012147714214,0.27547767354914643,1.6037575803308641,-0.7803955691199587,-1.4113805126781769,0.7094531222761568,-2.6807180443710275,-0.04056779839297337,0.0060294379519958054,1.1761023034264855,0.2531077493686365
S01008200,1.3933513378726414,1.4379012147714214,0.28278050242024716,0.5672234513021012,-0.7803955691199587,-1.2460773715499305,-0.8110749043853057,-2.3797796496458896,-0.4000608627251018,-0.27430229885051544,1.3233184327914913,0.15385752765533686
S01008201,1.1520069964014255,1.27578490134131,-0.18094913089464973,0.9559237496878873,-0.7803955691199587,-0.6394911610528873,-0.7269014920448907,-1.9171410475496686,0.4424372984824562,0.19705396726553367,2.9059890638334727,-0.1070703447996486
S01008202,0.18662963051656148,-0.021145606099579675,-0.3270057083166645,-0.8580109761124478,-0.327353429835175,-0.9272639420013592,0.20809809167905535,-0.030157494864247604,-0.3510293790576252,-1.0735159948185542,1.5573073602787053,0.5529747730764143
